Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
2476380,24-Jun-22,South Carolina,Hartsville,Hunt Dr,1,0,N/A
2340309,25-Jun-22,North Carolina,Charlotte,7100 block of Wallace Rd,1,1,N/A
2341881,26-Jun-22,West Virginia,Gallipolis Ferry,Wood School Rd,1,0,N/A
2341383,26-Jun-22,Florida,Pensacola,3114 Doctor MLK Jr Dr,1,1,N/A
2340972,26-Jun-22,Texas,Dallas,3500 block of Munger Ave,1,0,N/A
2340803,26-Jun-22,Missouri,House Springs,3500 block of W Fork Dr,1,0,N/A
2342174,27-Jun-22,Kentucky,Louisville,4700 block of E Pages Ln,1,0,N/A
2343957,28-Jun-22,Texas,Fort Worth,100 block of Woodie Way,1,0,N/A
2345108,30-Jun-22,Missouri,Saint Louis,10400 block of Olney Dr,1,0,N/A
2346998,1-Jul-22,North Carolina,Greensboro,5800 block of Sycamore Glen Rd,1,0,N/A
2346512,1-Jul-22,Pennsylvania,Upper Darby,6906 Ruskin Ln,1,0,N/A
2345628,1-Jul-22,Wisconsin,Milwaukee,1134 N 20th St,1,0,N/A
2351047,2-Jul-22,Virginia,Amelia Court House,4000 block of Richmond Rd,1,0,N/A
2346865,2-Jul-22,Virginia,Petersburg,120 Perry St,1,2,N/A
2353810,5-Jul-22,Texas,Garland,1700 block of Apollo Rd,1,0,N/A
2351169,5-Jul-22,Ohio,Akron,1600 block of Summit Lake Blvd,1,0,N/A
2351033,5-Jul-22,Ohio,Columbus,5300 block of Shiloh Dr,1,0,N/A
2353218,6-Jul-22,Georgia,Conyers,1996 Centennial Olympic Pkwy NE,1,0,N/A
2360404,7-Jul-22,Tennessee,Knoxville,2612 Gaston Ave,1,0,N/A
2355667,8-Jul-22,North Carolina,Graham,1013 Townbranch Rd,1,0,N/A
2354749,8-Jul-22,Louisiana,Baton Rouge,7400 block of Prescott Rd,1,0,N/A
2356147,10-Jul-22,Alabama,Montgomery,3300 block of Fountain Ln,1,0,N/A
2355865,10-Jul-22,Tennessee,Memphis,3300 block of Brockcrest Cove,1,0,N/A
2355496,10-Jul-22,Michigan,Detroit,250 Riverfront Dr,1,0,N/A
2358335,11-Jul-22,Oklahoma,Guthrie,E Co Rd 76 and N Westminster Rd,1,0,N/A
2359835,14-Jul-22,Arkansas,Pine Bluff,27113 Shannon Valley Rd,1,0,N/A
2361217,15-Jul-22,Colorado,Denver,1313 Xenia St,1,0,N/A
2360449,15-Jul-22,Wisconsin,Milwaukee,N 13th St and W Ring St,1,0,N/A
2364633,17-Jul-22,Indiana,Kouts,N/A,1,0,N/A
2377401,18-Jul-22,Florida,Lehigh Acres,537 Oakfield Ave,1,0,N/A
2364685,19-Jul-22,Florida,Bradenton,14th St E and 9th Ave E,1,0,N/A
2364234,19-Jul-22,Michigan,Detroit,Bramell St and Elmira St,1,0,N/A
2363850,19-Jul-22,Missouri,Rogersville,4500 block of S Farm Rd 223,1,0,N/A
2366254,21-Jul-22,South Carolina,North Charleston,Pinehurst St and N Oakridge Cir,1,0,N/A
2366931,22-Jul-22,Florida,Saint Petersburg,5800 Lynn Lake Dr S,1,0,N/A
2369189,24-Jul-22,Michigan,Niles,3100 block of Detroit Rd,1,0,N/A
2370544,25-Jul-22,Washington,Ellensburg,Yew St,1,0,N/A
2371338,26-Jul-22,South Carolina,Johns Island,Jules St,1,0,N/A
2370835,26-Jul-22,Illinois,Chicago,2400 block of W Marquette Rd,1,0,N/A
2370647,26-Jul-22,Indiana,Muncie,2810 S Monroe St,1,0,N/A
2381631,28-Jul-22,Pennsylvania,Tyrone,300 block of W 15th St,1,0,N/A
2373675,28-Jul-22,Idaho,Caldwell,5100 block of Danville St,1,0,N/A
2372813,28-Jul-22,Florida,Casselberry,800 block of Paddock Way,1,0,N/A
2372284,28-Jul-22,Texas,San Antonio,2005 Harry Wurzbach Rd,1,0,N/A
2374980,30-Jul-22,Texas,Dallas,2140 Medical District,1,1,N/A
2376926,1-Aug-22,Ohio,Dayton,635 Yale Ave,1,0,N/A
2376918,1-Aug-22,Arizona,Phoenix,40th Ave and Pollack St,1,0,N/A
2376246,1-Aug-22,West Virginia,Charleston,510 Wyoming St,1,0,N/A
2378733,2-Aug-22,Maryland,Oxon Hill,5500 block of Livingston Terrace,1,0,N/A
2377523,2-Aug-22,Wisconsin,Racine,800 block of Yout St,1,0,N/A
2377481,3-Aug-22,New Mexico,Clovis,1000 N Martin Luther King Jr Blvd,1,0,N/A
2378923,4-Aug-22,District of Columbia,Washington,1800 Good Hope Rd,1,0,N/A
2382588,6-Aug-22,Alabama,Birmingham (Forestdale),2400 block of Freemont Ave,1,0,N/A
2382461,6-Aug-22,Mississippi,Macon,East St,1,0,N/A
2381339,6-Aug-22,Texas,Arlington,800 block of E Sanford St,1,0,N/A
2381104,6-Aug-22,Maryland,Baltimore,600 block of Linnard St,1,0,N/A
2383853,7-Aug-22,Colorado,Monte Vista,300 block of Monroe St,1,0,N/A
2381419,7-Aug-22,Texas,El Paso,3700 block of N Zaragoza Rd,1,0,N/A
2381412,7-Aug-22,Georgia,Atlanta,I-85 N and N Druid Hills Rd,1,0,N/A
2381393,7-Aug-22,Minnesota,Minneapolis,95 S 10th St,1,0,N/A
2386592,8-Aug-22,New Jersey,Sicklerville,Gable Ct,1,0,N/A
2382854,8-Aug-22,Texas,Lometa,100 block of Pvt Rd 2525,1,0,N/A
2382624,8-Aug-22,New York,Rochester,Pennsylvania Ave and 4th St,1,0,N/A
2384523,9-Aug-22,Texas,Granbury,100 block of Abbey Park Ct,1,0,N/A
2384914,10-Aug-22,Wisconsin,Milwaukee,N 26th St and W Kilbourn Ave,1,0,N/A
2384894,10-Aug-22,Georgia,Atlanta,1368 Lakewood Ave SE,1,0,N/A
2384050,10-Aug-22,Virginia,Portsmouth,2800 block of Deep Creek Blvd,1,0,N/A
2386529,12-Aug-22,North Dakota,Williston,N/A,1,0,N/A
2386019,12-Aug-22,Arkansas,Helena,600 block of Poplar St,1,0,N/A
2386993,13-Aug-22,Florida,Saint Petersburg,12th Ave S and 43rd St S,1,0,N/A
2388581,14-Aug-22,Oklahoma,Tulsa,1950 S Garnett Rd,1,0,N/A
2388749,15-Aug-22,Tennessee,Smyrna,110 Sam Ridley Pkwy E,1,0,N/A
2389342,16-Aug-22,Delaware,Wilmington,600 block of N Washington St,1,1,N/A
2389003,16-Aug-22,Florida,Daytona Beach,315 Glenview Blvd,1,0,N/A
2396611,17-Aug-22,Indiana,Crown Point,3885 Brookside Dr,1,0,N/A
2392036,17-Aug-22,Pennsylvania,Chester,3900 block of Gideon Rd,1,0,N/A
2391857,18-Aug-22,Maryland,Lanham,MD-704 and Business Pkwy,1,1,N/A
2396019,19-Aug-22,California,Tulare,Cottonwood St and Buttonwood Ave,1,0,N/A
2392690,19-Aug-22,Mississippi,Picayune,N/A,1,0,N/A
2395435,20-Aug-22,Florida,Bushnell,2550 Co Rd 673,1,0,N/A
2395409,21-Aug-22,Ohio,Toronto,517 W Fernwood Dr,1,0,N/A
2395235,21-Aug-22,California,Fresno,327 E Fir Ave,1,0,N/A
2398474,22-Aug-22,Michigan,Detroit,19700 block of Oakfield St,1,0,N/A
2395161,22-Aug-22,Michigan,Detroit,Oakfield Ave and St Martins Ave,1,0,N/A
2394971,22-Aug-22,Tennessee,Antioch,200 block of Benzing Rd,1,0,N/A
2394403,22-Aug-22,Georgia,Redan,Young Knoll and Young Ln,1,0,N/A
2397706,24-Aug-22,Florida,Gainesville,5200 NE 39th Ave,1,0,N/A
2396391,24-Aug-22,Arizona,Phoenix,N 113th Ave and W Monterosa St,1,1,N/A
2398601,26-Aug-22,West Virginia,Charleston (Sissonville),800 block of Second Creek Rd,1,0,N/A
2401293,27-Aug-22,Florida,West Palm Beach,4300 San Marino Blvd,1,0,N/A
2401464,28-Aug-22,Hawaii,Hawi,55-3478 Akoni Pule Hwy,1,0,N/A
2400908,28-Aug-22,Alaska,Anchor Point,Shorebird Ln,1,0,N/A
2400355,28-Aug-22,New York,Cambridge,51 S Park St,1,0,N/A
2402171,29-Aug-22,Alabama,Huntsville,2800 block of Beard St,1,0,N/A
2400857,29-Aug-22,Minnesota,Minneapolis,2425 Cole Ave SE,1,0,N/A
2402876,31-Aug-22,Missouri,Saint Louis,956 Melvin Dr,1,0,N/A
2405476,1-Sep-22,Ohio,Akron,813 Lovers Ln,1,0,N/A
2403928,1-Sep-22,Indiana,Anderson,1200 block of Jonathon Ct,1,0,N/A
2404903,2-Sep-22,New York,Corona (Queens),240-06 136th Ave,1,0,N/A
2409391,4-Sep-22,Oklahoma,Tulsa,S Garnett Rd and E 21st St,1,0,N/A
2407282,4-Sep-22,Indiana,Evansville,1856 S Garvin St,1,0,N/A
2407412,5-Sep-22,Texas,Houston,4300 block of Steubner Hill Dr,1,0,N/A
2412238,9-Sep-22,Texas,Fort Worth,6200 block of Hulen Bend Cir,1,0,N/A
2411698,9-Sep-22,Nevada,Las Vegas,2675 W Agate Ave,1,0,N/A
2411616,9-Sep-22,Maine,Guilford,N/A,1,0,N/A
2418498,10-Sep-22,Illinois,Litchfield,N/A,1,0,N/A
